Species,Class,Label,Uniquely.mapped.rate,1-Unmapped.rate,1-Multiple.mapped.rate,Quantification.rate,1-Quantification.failure.rate.due.to.absence.of.annotation,1-Quantification.failure.rate.due.to.ambiguity,Scaled.transcripts.diversity.PCA,Scaled.adj.N50.in.contig,Scaled.adj.N50.in.scaffold,Scaled.non.spanned.gaps.rates,NGS applicability index
Acanthochromis polyacanthus,Actinopteri,Actinopteri,0.84656,0.88232,0.964246667,0.373821886,0.932081848,0.983992136,0.006540022,0.07368421,0,0.530603042,0.559384981
Ailuropoda melanoleuca,Mammalia,Mammalia,0.774746667,0.819796667,0.95496,0.286860509,0.860173827,0.991667572,0.18509367,0.3263158,0.8736842,0.81890912,0.689220803
Amphilophus citrinellus,Actinopteri,Actinopteri,0.70655,0.726696667,0.979856667,0.243668317,0.840703019,0.994063607,0.021704177,0.2105263,0.1157895,0.778514777,0.561807303
Amphiprion ocellaris,Actinopteri,Actinopteri,0.836123333,0.902633333,0.93349,0.361341172,0.928722194,0.984664252,0.039365881,0.4421053,0.02105263,0.99491616,0.644441426
Amphiprion percula,Actinopteri,Actinopteri,0.860466667,0.897313333,0.96313,0.62976349,0.777041742,0.971891823,0.026733256,0.6210526,0.6842105,0.997519901,0.742912331
Anas platyrhynchos,Aves,Livestock,0.8085,0.885576667,0.922913333,0.247865965,0.820314375,0.995696709,0.120991053,0.7789474,0.8947368,0.998876319,0.747441862
Anolis carolinensis,Lepidosauria,Lepidosauria,0.655783333,0.732723333,0.923046667,0.195601496,0.830356396,0.994402606,0.279809569,0.3052632,0.1684211,0.871482132,0.595688983
Arabidopsis thaliana,Magnoliopsida,Magnoliopsida,0.795736667,0.92609,0.869656667,0.759132742,0.950340951,0.98364397,0.233082922,0.9894737,0.9894737,0.999654532,0.849628585
Astatotilapia calliptera,Actinopteri,Actinopteri,0.72525,0.779853333,0.945406667,0.282089818,0.889755081,0.98190067,0.02387028,0.6842105,0.7684211,0.998218111,0.707897556
Astyanax mexicanus,Actinopteri,Actinopteri,0.785033333,0.88572,0.899296667,0.610544143,0.821427126,0.971554981,0.013008429,0.5684211,0.4842105,0.997763547,0.703697983
Betta splendens,Actinopteri,Actinopteri,0.744916667,0.78612,0.958776667,0.540048508,0.774770512,0.980116091,0.233942843,0.7052632,0.8,0.998807225,0.752276171
Bos grunniens,Mammalia,Livestock,0.740923333,0.889543333,0.851386667,0.506451589,0.758505781,0.982114441,0.295244332,0.8842105,0.6526316,0.997650815,0.755866239
Bos mutus,Mammalia,Mammalia,0.83174,0.86259,0.969163333,0.638692025,0.769990843,0.990241256,0.240508286,0.01052632,0.03157895,0.301768434,0.564679945
Bos taurus,Mammalia,Livestock,0.685276667,0.700543333,0.984723333,0.53647868,0.78168179,0.9906061,0.269943653,0.7894737,0.6,0.998596307,0.733732356
Callithrix jacchus,Mammalia,Mammalia,0.686106667,0.74073,0.94538,0.257793476,0.874543241,0.996747353,0.636021578,0.6631579,0.8210526,0.996512588,0.76180454
Camelus dromedarius,Mammalia,Mammalia,0.662576667,0.71008,0.952506667,0.334819677,0.596541578,0.99607236,0.163841176,0.3789474,0.5789474,0.867361967,0.624169489
Canis lupus familiaris,Mammalia,Mammalia,0.85308,0.897926667,0.955143333,0.359990624,0.922255235,0.991792543,0.52171735,0.6736842,0.4947368,0.997909007,0.766823576
Capra hircus,Mammalia,Livestock,0.72375,0.855313333,0.868436667,0.255267865,0.860892959,0.993844724,0.305672487,0.7684211,0.5368421,0.998210838,0.716665207
Carassius auratus,Actinopteri,Actinopteri,0.693796667,0.776366667,0.91741,0.636051415,0.875221912,0.988761235,0.156109103,0.4736842,0.4210526,0.991828764,0.693028256
Cavia porcellus,Mammalia,Mammalia,0.720473333,0.78828,0.932183333,0.556971962,0.78506109,0.982888976,0.441452456,0.2210526,0.4105263,0.787409678,0.662629973
Cercocebus atys,Mammalia,Mammalia,0.832036667,0.853156667,0.978876667,0.524234892,0.636272284,0.992412725,0.330533138,0.2842105,0.2736842,0.762466862,0.64678846
Chinchilla lanigera,Mammalia,Mammalia,0.55824,0.586713333,0.971533333,0.467439321,0.823641655,0.977971782,0.601059025,0.1684211,0.3789474,0.713381263,0.624734821
Chlorocebus sabaeus,Mammalia,Mammalia,0.66724,0.74022,0.92703,0.375577646,0.692506747,0.963415675,0.375640559,0.2526316,0.5263158,0.415605715,0.593618374
Ciona intestinalis,Ascidiacea,Ascidiacea,0.43278,0.45158,0.98119,0.231849486,0.959347817,0.983100023,0.013763783,0.4210526,0.7789474,0.981362891,0.6234974
Coturnix japonica,Aves,Aves,0.805033333,0.84449,0.96054,0.647086503,0.812109514,0.982706616,0.446081796,0.5368421,0.2105263,0.974140784,0.721955695
Cyclopterus lumpus,Actinopteri,Actinopteri,0.788393333,0.880216667,0.908163333,0.326308716,0.910889965,0.994559459,0.073202835,0.7578947,0.6736842,0.998738131,0.731205134
Cynoglossus semilaevis,Actinopteri,Actinopteri,0.805306667,0.881496667,0.923806667,0.669236709,0.871935737,0.950270604,0.003892671,0.3578947,0.08421053,0.88460993,0.643266088
Cyprinodon variegatus,Actinopteri,Actinopteri,0.515106667,0.542363333,0.972753333,0.271645666,0.965494945,0.986308238,0.003404021,0.1157895,0.06315789,0.630167025,0.506619062
Cyprinus carpio carpio,Actinopteri,Actinopteri,0.88402,0.935613333,0.948416667,0.703936176,0.913270341,0.881931697,0.176268962,0.7157895,0.4736842,0.998647219,0.76315781
Danio rerio,Actinopteri,Actinopteri,0.82633,0.879786667,0.94653,0.730812562,0.894934121,0.970492499,0.263459747,0.5052632,0.1894737,0.93514286,0.714222536
Dicentrarchus labrax,Actinopteri,Actinopteri,0.83223,0.881506667,0.950716667,0.622970235,0.85880988,0.898094082,0.096230651,0.9263158,0.7473684,0.99901087,0.781325325
Drosophila melanogaster,Insecta,Insecta,0.71191,0.8626,0.849316667,0.342633959,0.992841148,0.969721516,0.480954423,1,0.9789474,0.997919917,0.818684503
Equus caballus,Mammalia,Livestock,0.85495,0.89971,0.955233333,0.610964022,0.722531406,0.988145364,0.499422819,0.5473684,0.5684211,0.977140904,0.762388735
Esox lucius,Actinopteri,Actinopteri,0.82282,0.882616667,0.940213333,0.660357842,0.807644319,0.985965036,0.252846954,0.6421053,0.6421053,0.997876279,0.763455103
Felis catus,Mammalia,Mammalia,0.79561,0.849936667,0.94567,0.421795726,0.594957834,0.98992801,0.529572817,0.8947368,0.5578947,0.998603581,0.757870614
Ficedula albicollis,Aves,Aves,0.56089,0.587183333,0.973726667,0.489545055,0.782586348,0.979919209,0.200604327,0.4315789,0.3263158,0.967245963,0.62995956
Fundulus heteroclitus,Actinopteri,Actinopteri,0.711103333,0.736506667,0.9746,0.6045929,0.790452799,0.972574847,0.00075655,0.08421053,0.09473684,0.598009375,0.556754384
Gadus morhua,Actinopteri,Actinopteri,0.801406667,0.871213333,0.930196667,0.639238329,0.802866856,0.986904896,0.26724401,0.5789474,0.7263158,0.995581641,0.75999156
Gallus gallus,Aves,Livestock,0.78124,0.81224,0.969006667,0.69592506,0.903761696,0.957497588,0.739071531,0.9157895,0.9368421,0.998316296,0.870969044
Haplochromis burtoni,Actinopteri,Actinopteri,0.80304,0.81984,0.983186667,0.524409927,0.704253755,0.968690102,0.022201091,0.1789474,0.1052632,0.77790748,0.588773962
Homo sapiens,Mammalia,Human & Mouse,0.88433,0.917176667,0.96714,0.758444403,0.933656433,0.903689125,1,0.9052632,0.4631579,0.997596267,0.8730454
Ictalurus punctatus,Actinopteri,Actinopteri,0.627156667,0.67111,0.95605,0.563756697,0.906763419,0.960350646,0.052774206,0.3894737,0.3894737,0.910654608,0.642756364
Ictidomys tridecemlineatus,Mammalia,Mammalia,0.799026667,0.825416667,0.9736,0.617414398,0.803212033,0.975502,0.388502949,0.09473684,0.2315789,0.487234035,0.619622449
Kryptolebias marmoratus,Actinopteri,Actinopteri,0.688563333,0.71282,0.975743333,0.588468443,0.850953974,0.968266564,0.001226182,0.3684211,0.2210526,0.915352978,0.629086851
Labrus bergylta,Actinopteri,Actinopteri,0.744376667,0.8439,0.90048,0.564013227,0.779225969,0.971902855,0.055534113,0.5578947,0.07368421,0.999065417,0.649007716
Larimichthys crocea,Actinopteri,Actinopteri,0.778566667,0.819166667,0.95939,0.603509125,0.785321108,0.972329737,0.034988565,0.4631579,0.6631579,0.97461353,0.70542012
Lates calcarifer,Actinopteri,Actinopteri,0.829993333,0.904153333,0.925846667,0.424581673,0.567117774,0.988027085,0.059217012,0.5894737,0.1368421,0.999599984,0.642485266
Leptobrachium leishanense,Amphibia,Amphibia,0.65457,0.726126667,0.928436667,0.503130109,0.760549104,0.993254639,0.056388559,0.5263158,0.9578947,0.988064977,0.709473122
Macaca fascicularis,Mammalia,Mammalia,0.69952,0.801083333,0.898446667,0.417242852,0.678930253,0.977467971,0.603834297,0.7368421,0.8631579,0.997963555,0.767448893
Macaca mulatta,Mammalia,Mammalia,0.724646667,0.784183333,0.940473333,0.508295796,0.718690707,0.961868715,0.543940413,0.8736842,0.5052632,0.999261789,0.756030815
Macaca nemestrina,Mammalia,Mammalia,0.726823333,0.751406667,0.975403333,0.281188854,0.488258305,0.997177723,0.339735635,0.2631579,0.2947368,0.693355007,0.581124356
Mastacembelus armatus,Actinopteri,Actinopteri,0.61668,0.657933333,0.958766667,0.58238982,0.881402238,0.985551942,0.04517047,0.8526316,0.6947368,0.999141784,0.727440465
Meleagris gallopavo,Aves,Aves,0.80971,0.859193333,0.950516667,0.52661492,0.692430678,0.988486912,0.132028513,0.1578947,0.2421053,0.772627269,0.613160829
Mesocricetus auratus,Mammalia,Mammalia,0.786786667,0.797633333,0.989146667,0.638346466,0.780997126,0.994366313,0.206058826,0.02105263,0.2842105,0.213728549,0.571232708
Monodelphis domestica,Mammalia,Mammalia,0.547726667,0.694323333,0.853396667,0.285204948,0.679140205,0.99237449,0.637321759,0.2315789,0.9684211,0.75389561,0.664338368
Mus musculus,Mammalia,Human & Mouse,0.841573333,0.916066667,0.92551,0.793793918,0.963253172,0.953987572,0.879959027,0.9578947,0.6315789,0.999258152,0.886287544
Mus spretus,Mammalia,Mammalia,0.781836667,0.82242,0.959416667,0.669208116,0.869135568,0.965559291,0.678285325,0,0.8421053,0,0.658796693
Mustela putorius furo,Mammalia,Mammalia,0.79972,0.842516667,0.957196667,0.5545143,0.723478008,0.978184326,0.593993172,0.1052632,0.2631579,0.601074952,0.641909919
Myotis lucifugus,Mammalia,Mammalia,0.56783,0.607683333,0.96015,0.375713799,0.733990688,0.998025151,0.282256039,0.2421053,0.1473684,0.777696562,0.569281927
Neolamprologus brichardi,Actinopteri,Actinopteri,0.698406667,0.757766667,0.94064,0.482660218,0.752047822,0.987492058,0.021513936,0.04210526,0.3052632,0.603264131,0.559115996
Nothobranchius furzeri,Actinopteri,Actinopteri,0.77788,0.872616667,0.905253333,0.54131855,0.748594126,0.979233067,0.104462089,0.06315789,0.4315789,0.749342701,0.617343732
