Species,Transcript's diversity,Quant.rate,Quant.rate(Abs),Quant.rate(Amb),MapRate,UnimapRate,MultiMapRate,AdjN50Contig,AdjN50Scaffold,UngapRate,NGS applicability index
Acanthochromis polyacanthus,0.006540022,0.373821886,0.932081848,0.983992136,0.88232,0.84656,0.964246667,0.07291667,0,0.530603042,0.559308227
Ailuropoda melanoleuca,0.18509367,0.286860509,0.860173827,0.991667572,0.819796667,0.774746667,0.95496,0.3229167,0.875,0.81890912,0.689012473
Amphilophus citrinellus,0.021704177,0.243668317,0.840703019,0.994063607,0.726696667,0.70655,0.979856667,0.2083333,0.1145833,0.778514777,0.561467383
Amphiprion ocellaris,0.039365881,0.361341172,0.928722194,0.984664252,0.902633333,0.836123333,0.93349,0.4375,0.02083333,0.99491616,0.643958966
Amphiprion percula,0.026733256,0.62976349,0.777041742,0.971891823,0.897313333,0.860466667,0.96313,0.625,0.6875,0.997519901,0.743636021
Anas platyrhynchos,0.120991053,0.247865965,0.820314375,0.995696709,0.885576667,0.8085,0.922913333,0.78125,0.8958333,0.998876319,0.747781772
Anolis carolinensis,0.279809569,0.195601496,0.830356396,0.994402606,0.732723333,0.655783333,0.923046667,0.3020833,0.1666667,0.871482132,0.595195553
Arabidopsis thaliana,0.233082922,0.759132742,0.950340951,0.98364397,0.92609,0.795736667,0.869656667,0.9895833,0.9895833,0.999654532,0.849650505
Astatotilapia calliptera,0.02387028,0.282089818,0.889755081,0.98190067,0.779853333,0.72525,0.945406667,0.6875,0.7708333,0.998218111,0.708467726
Astyanax mexicanus,0.013008429,0.610544143,0.821427126,0.971554981,0.88572,0.785033333,0.899296667,0.5729167,0.4895833,0.997763547,0.704684823
Betta splendens,0.233942843,0.540048508,0.774770512,0.980116091,0.78612,0.744916667,0.958776667,0.7083333,0.8020833,0.998807225,0.752791511
Bos grunniens,0.295244332,0.506451589,0.758505781,0.982114441,0.889543333,0.740923333,0.851386667,0.8854167,0.65625,0.997650815,0.756348699
Bos mutus,0.240508286,0.638692025,0.769990843,0.990241256,0.86259,0.83174,0.969163333,0.01041667,0.03125,0.301768434,0.564636085
Bos taurus,0.269943653,0.53647868,0.78168179,0.9906061,0.700543333,0.685276667,0.984723333,0.7916667,0.6041667,0.998596307,0.734368326
Callithrix jacchus,0.636021578,0.257793476,0.874543241,0.996747353,0.74073,0.686106667,0.94538,0.6666667,0.8229167,0.996512588,0.76234183
Camelus dromedarius,0.163841176,0.334819677,0.596541578,0.99607236,0.71008,0.662576667,0.952506667,0.375,0.5833333,0.867361967,0.624213339
Canis lupus familiaris,0.52171735,0.359990624,0.922255235,0.991792543,0.897926667,0.85308,0.955143333,0.6770833,0.5,0.997909007,0.767689806
Capra hircus,0.305672487,0.255267865,0.860892959,0.993844724,0.855313333,0.72375,0.868436667,0.7708333,0.5416667,0.998210838,0.717388887
Carassius auratus,0.156109103,0.636051415,0.875221912,0.988761235,0.776366667,0.693796667,0.91741,0.46875,0.4166667,0.991828764,0.692096246
Cavia porcellus,0.441452456,0.556971962,0.78506109,0.982888976,0.78828,0.720473333,0.932183333,0.21875,0.40625,0.787409678,0.661972083
Cercocebus atys,0.330533138,0.524234892,0.636272284,0.992412725,0.853156667,0.832036667,0.978876667,0.28125,0.2708333,0.762466862,0.64620732
Chinchilla lanigera,0.601059025,0.467439321,0.823641655,0.977971782,0.586713333,0.55824,0.971533333,0.1666667,0.375,0.713381263,0.624164641
Chlorocebus sabaeus,0.375640559,0.375577646,0.692506747,0.963415675,0.74022,0.66724,0.92703,0.25,0.53125,0.415605715,0.593848634
Ciona intestinalis,0.013763783,0.231849486,0.959347817,0.983100023,0.45158,0.43278,0.98119,0.4166667,0.78125,0.981362891,0.62328907
Coturnix japonica,0.446081796,0.647086503,0.812109514,0.982706616,0.84449,0.805033333,0.96054,0.53125,0.2083333,0.974140784,0.721177185
Cyclopterus lumpus,0.073202835,0.326308716,0.910889965,0.994559459,0.880216667,0.788393333,0.908163333,0.7604167,0.6770833,0.998738131,0.731797244
Cynoglossus semilaevis,0.003892671,0.669236709,0.871935737,0.950270604,0.881496667,0.805306667,0.923806667,0.3541667,0.08333333,0.88460993,0.642805568
Cyprinodon variegatus,0.003404021,0.271645666,0.965494945,0.986308238,0.542363333,0.515106667,0.972753333,0.1145833,0.0625,0.630167025,0.506432653
Cyprinus carpio carpio,0.176268962,0.703936176,0.913270341,0.881931697,0.935613333,0.88402,0.948416667,0.71875,0.46875,0.998647219,0.76296044
Danio rerio,0.263459747,0.730812562,0.894934121,0.970492499,0.879786667,0.82633,0.94653,0.5,0.1875,0.93514286,0.713498846
Dicentrarchus labrax,0.096230651,0.622970235,0.85880988,0.898094082,0.881506667,0.83223,0.950716667,0.9270833,0.75,0.99901087,0.781665235
Drosophila melanogaster,0.480954423,0.342633959,0.992841148,0.969721516,0.8626,0.71191,0.849316667,1,0.9791667,0.997919917,0.818706433
Equus caballus,0.499422819,0.610964022,0.722531406,0.988145364,0.89971,0.85495,0.955233333,0.5416667,0.5729167,0.977140904,0.762268125
Esox lucius,0.252846954,0.660357842,0.807644319,0.985965036,0.882616667,0.82282,0.940213333,0.6458333,0.6458333,0.997876279,0.764200703
Felis catus,0.529572817,0.421795726,0.594957834,0.98992801,0.849936667,0.79561,0.94567,0.8958333,0.5625,0.998603581,0.758440793
