Species,Class,Label,Assigned_rate,Unassigned_Unmapped_rate,Unassigned_MultiMapping_rate,Unassigned_NoFeatures_rate,Unassigned_Ambiguity_rate,Genome_size,Overlap_length_of_exon,Total_gene_length,Total_exon_length,Num_of_annotated_genes,Num_of_annotated_exons,Avg_exons_per_gene,Prop_exons_in_genome,Prop_genes_in_genome,Avg_gene_length,Average_exon_length,Prop_overlapness_exon_in_genome,Transcripts_diversity_equitability,Transcripts_diversity_PCA,QQI
Acanthochromis polyacanthus,Actinopteri,Actinopteri,0.373821886,0.020818313,0.053248398,0.067918152,0.016007864,991584656,1755550,422241090,95841691,24565,251425,10.23509058,0.096655077,0.42582455,17188.72746,381.1939584,0.001770449,0.087101931,-0.177503516,0.844657541
Ailuropoda melanoleuca,Mammalia,Mammalia,0.286860509,0.040078518,0.068409067,0.139826173,0.008332428,2444060653,21974791,973763720,93927981,24462,224567,9.180238738,0.038431117,0.39842044,39807.19974,418.2626165,0.008991099,0.405033279,-0.04551512,0.788887703
Amphilophus citrinellus,Actinopteri,Actinopteri,0.243668317,0.0764011,0.03541706,0.159296981,0.005936393,844902565,3317602,323899838,45128924,24528,236353,9.636048598,0.05341317,0.383357622,13205.30977,190.9386553,0.003926609,0.126059419,-0.166294042,0.766657458
Amphiprion ocellaris,Actinopteri,Actinopteri,0.361341172,0.015709157,0.114991227,0.071277806,0.015335748,880704246,1488176,405214674,84011075,24773,252212,10.18092278,0.095390791,0.460103009,16357.10951,333.0970572,0.001689757,0.16824518,-0.153238358,0.839062536
Amphiprion percula,Actinopteri,Actinopteri,0.62976349,0.080816472,0.129216673,0.222958258,0.028108177,908939294,22722638,441599478,90656698,24840,260034,10.46835749,0.099739002,0.485840453,17777.75676,348.6340171,0.024999071,0.13945416,-0.162576504,0.877413
Anas platyrhynchos,Aves,Livestock animals,0.247865965,0.028116515,0.087938209,0.179685625,0.004303291,1211992756,14594867,505997411,68702117,18490,201033,10.87252569,0.056685254,0.417492108,27366.00384,341.7454696,0.012042041,0.270992092,-0.092900327,0.761287592
Anolis carolinensis,Lepidosauria,Lepidosauria,0.195601496,0.079443864,0.141108719,0.169643604,0.005597394,1799143587,11823755,772812630,87105372,26479,211848,8.000604252,0.048414908,0.429544721,29185.86918,411.1691968,0.00657188,0.425160431,0.024499689,0.745235952
Arabidopsis thaliana,Magnoliopsida,Magnoliopsida,0.759132742,0.039948036,0.28466449,0.049659049,0.01635603,119146348,19602075,65640348,89217827,32834,196888,5.996467077,0.748808742,0.550922031,1999.157824,453.1399933,0.164520989,0.371377877,-0.010041051,0.993391084
Astatotilapia calliptera,Actinopteri,Actinopteri,0.282089818,0.057775076,0.104120756,0.110244919,0.01809933,880428986,25861200,469317737,114429778,28001,279154,9.969429663,0.12997048,0.533055754,16760.74915,409.9163114,0.029373408,0.13173426,-0.16469284,0.794436751
Astyanax mexicanus,Actinopteri,Actinopteri,0.610544143,0.07905505,0.440990038,0.178572874,0.028445019,1335239194,22191853,632384298,112050901,27420,270754,9.87432531,0.083918223,0.473611246,23062.88468,413.8476292,0.016620133,0.105290169,-0.172722014,0.886571568
Betta splendens,Actinopteri,Actinopteri,0.540048508,0.170986693,0.130398727,0.225229488,0.019883909,441371523,19247644,292181518,147212149,26727,346165,12.95188386,0.33353341,0.661985431,10932.07311,425.2658385,0.043608713,0.401760147,-0.00940539,0.846516329
Bos grunniens,Mammalia,Livestock animals,0.506451589,0.08234157,0.47045569,0.241494219,0.017885559,2832776395,22760986,1128095122,98590573,26924,241444,8.967612539,0.034803514,0.398229498,41899.23941,408.3372252,0.008034869,0.55369325,0.035909199,0.828861336
Bos mutus,Mammalia,Mammalia,0.638692025,0.088186658,0.078701566,0.230009157,0.009758744,2645145588,3435712,869929706,73164517,25772,224602,8.714961974,0.027659921,0.328877817,33754.83882,325.7518499,0.001298874,0.5215949,-0.004552158,0.884874014
Bos taurus,Mammalia,Livestock animals,0.53647868,0.219013071,0.044864089,0.21831821,0.0093939,2715853794,22250568,996770330,95830448,27607,240541,8.713043793,0.03528557,0.367019142,36105.70978,398.3954835,0.008192845,0.549436062,0.017206719,0.851618241
Callithrix jacchus,Mammalia,Mammalia,0.257793476,0.082539265,0.094831815,0.125456759,0.003252647,2829727687,27515709,1482300618,128668843,40188,279127,6.945531004,0.045470398,0.523831542,36884.1599,460.9688171,0.009723801,0.902622206,0.287814678,0.78534004
Camelus dromedarius,Mammalia,Mammalia,0.334819677,0.206756918,0.167864461,0.403458422,0.00392764,2154386959,19700816,853897402,81301381,22444,222214,9.900819818,0.037737594,0.396352846,38045.68713,365.8697517,0.009144511,0.378179278,-0.061225147,0.710958676
Canis lupus familiaris,Mammalia,Mammalia,0.359990624,0.029068224,0.076083313,0.077744765,0.008207457,2396875024,33037101,1145303786,149262243,31121,260022,8.355194242,0.062273686,0.477832083,36801.63831,574.0369776,0.013783406,0.647209612,0.203320007,0.83880831
Capra hircus,Mammalia,Livestock animals,0.255267865,0.02406154,0.226264576,0.139107041,0.006155276,2922796603,20927515,961475660,87699856,27271,235206,8.624766235,0.03000546,0.32895743,35256.34043,372.8640256,0.0071601,0.531887718,0.043617781,0.778302682
