Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	total_genes
Acanthochromis Polyacanthus	Actinopteri	Actinopteri	0.143925303	0.087101931	-0.177503516	-0.015612127	0	0	2	0	4	126	16	0	0	0	0	24016	3	38	12	0	248	58	8	0	0	0	5	0	0	0	0	0	0	29	24565
Ailuropoda Melanoleuca	Mammalia	Mammalia	0.669268025	0.405033279	-0.04551512	0.016803259	7	0	0	0	22	232	15	0	0	0	0	20820	8	19	27	0	635	1289	0	0	3	0	3	2	0	0	1	30	766	583	24462
Amphilophus Citrinellus	Actinopteri	Actinopteri	0.208297793	0.126059419	-0.166294042	-0.007595129	0	0	3	0	15	180	19	0	0	0	0	23675	3	324	9	0	199	42	6	0	0	0	3	0	0	0	0	0	0	50	24528
Amphiprion Ocellaris	Actinopteri	Actinopteri	0.278004611	0.16824518	-0.153238358	0.000497359	0	0	3	0	32	117	17	2	22	0	0	23555	3	530	16	0	230	201	6	0	0	0	2	0	0	0	0	0	0	37	24773
Amphiprion Percula	Actinopteri	Actinopteri	0.230430966	0.13945416	-0.162576504	-0.005249692	0	0	12	0	40	123	23	0	0	0	0	23872	3	407	12	0	221	81	5	0	0	0	2	0	0	0	0	0	0	39	24840
Anas Platyrhynchos	Aves	Livestock	0.447781335	0.270992092	-0.092900327	-0.020374893	0	0	0	0	0	124	5	0	0	0	0	16765	3	34	15	0	202	96	0	0	0	0	0	0	0	0	1	4	786	455	18490
Anolis Carolinensis	Lepidosauria	Lepidosauria	0.702525686	0.425160431	0.024499689	-0.04785221	0	0	0	0	1	289	3	2	22	0	0	21554	3	125	14	0	192	265	0	0	0	0	0	0	0	0	8	2	3173	826	26479
Arabidopsis Thaliana	Magnoliopsida	Magnoliopsida	0.613656583	0.371377877	-0.010041051	-0.054357392	0	0	0	0	0	325	0	0	0	299	0	27628	0	15	0	0	287	82	0	0	0	0	0	0	0	689	0	0	3508	0	32833
Astatotilapia Calliptera	Actinopteri	Actinopteri	0.217674776	0.13173426	-0.16469284	-0.007860065	0	0	4	0	27	410	43	0	0	0	0	26983	3	182	11	0	202	86	2	0	0	0	4	0	0	0	0	0	0	44	28001
Astyanax Mexicanus	Actinopteri	Actinopteri	0.173979145	0.105290169	-0.172722014	-0.011787349	0	0	4	0	28	38	21	0	0	0	0	26662	7	246	10	0	234	123	1	0	0	0	4	0	0	0	0	0	0	42	27420
Betta Splendens	Actinopteri	Actinopteri	0.663859575	0.401760147	-0.00940539	-0.028475802	0	0	1	0	13	79	15	0	0	0	0	22369	7	741	6	0	167	265	0	0	0	0	5	0	0	0	4	1	2441	613	26727
Bos Grunniens	Mammalia	Livestock	0.91491047	0.55369325	0.035909199	0.023983314	0	0	0	0	6	748	25	0	0	0	0	20953	5	185	34	0	767	1265	0	0	1	0	5	2	0	0	8	14	1698	1208	26924
Bos Mutus	Mammalia	Mammalia	0.861871867	0.5215949	-0.004552158	0.035428471	0	0	0	0	5	669	384	2	22	0	0	20832	8	339	32	0	756	1196	3	0	1	0	5	4	0	0	0	0	928	586	25772
Bos Taurus	Mammalia	Livestock	0.907875987	0.549436062	0.017206719	0.026627531	1	0	0	0	2	951	372	2	22	0	0	21861	8	393	33	0	770	1201	3	0	1	0	5	10	0	0	0	0	1480	492	27607
Callithrix Jacchus	Mammalia	Mammalia	1.491472954	0.902622206	0.287814678	0.048098586	1	0	0	0	71	540	4204	0	0	0	0	21965	4	213	49	0	1501	3083	0	0	3	0	12	26	0	0	16	937	6268	1295	40188
Camelus Dromedarius	Mammalia	Mammalia	0.624895067	0.378179278	-0.061225147	0.021908598	1	0	0	0	17	197	9	0	0	0	0	19379	4	21	30	0	633	1027	0	0	1	0	5	3	0	0	2	8	445	662	22444
Canis Lupus Familiaris	Mammalia	Mammalia	1.069434836	0.647209612	0.203320007	-0.057538012	24	0	0	0	29	986	22	0	0	0	0	20500	6	27	28	0	618	1750	0	0	3	0	7	4	0	0	1	27	6479	610	31121
Capra Hircus	Mammalia	Livestock	0.878879492	0.531887718	0.043617781	-0.012514897	4	0	0	0	6	314	352	2	22	0	0	21343	8	384	28	0	682	1189	2	0	2	0	0	6	0	0	0	0	2705	222	27271
Carassius Auratus	Actinopteri	Actinopteri	0.581213618	0.351743769	-0.066940762	-0.004795614	10	0	1	0	126	233	64	2	22	0	0	54560	7	1890	22	0	441	952	0	0	3	0	25	49	0	0	7	3	2799	915	62131
Cavia Porcellus	Mammalia	Mammalia	1.212716144	0.733921805	0.143987505	0.042580343	0	0	0	0	0	474	1786	2	22	0	0	18095	20	541	59	0	1624	1354	2	0	0	0	0	0	0	0	0	0	2634	242	26855
Cercocebus Atys	Mammalia	Mammalia	1.114119872	0.674252479	0.061994989	0.093179152	23	0	0	0	101	1312	1923	0	0	0	0	20746	7	679	46	0	834	1653	1	0	8	0	0	48	0	0	0	0	538	540	28459
Chinchilla Lanigera	Mammalia	Mammalia	1.194912522	0.723147258	0.261970057	-0.061013259	0	0	0	0	0	462	978	2	22	0	0	17809	15	550	40	0	723	1326	2	0	0	0	0	0	0	0	0	0	7050	282	29261
Chlorocebus Sabaeus	Mammalia	Mammalia	1.133192417	0.685794963	0.095338783	0.132657514	0	0	0	0	0	3136	1916	2	22	0	0	19165	0	526	0	0	901	1739	0	0	0	0	0	0	0	0	0	0	3	575	27985
Ciona Intestinalis	Ascidiacea	Ascidiacea	0.166311776	0.100649966	-0.17216365	-0.012403655	0	0	0	0	0	292	13	2	24	0	0	16671	0	35	0	0	54	35	0	0	0	0	0	0	0	0	0	0	0	27	17153
Ciona Savignyi	Ascidiacea	Ascidiacea	0.261440601	0.158220833	-0.15459219	-0.002745124	0	0	0	0	0	62	7	2	24	0	0	11616	0	64	0	0	80	101	0	0	0	0	0	0	0	0	0	0	0	216	12172
Coturnix Japonica	Aves	Aves	0.750360536	0.45410953	0.147409553	-0.118949021	0	0	0	0	0	148	121	2	22	0	0	15732	2	26	18	0	196	64	2	0	0	0	0	0	0	0	0	0	5088	140	21561
Cyclopterus Lumpus	Actinopteri	Actinopteri	0.381028661	0.230594145	-0.12822579	0.002393066	0	0	1	0	6	73	5	0	0	0	0	21506	7	530	8	0	327	215	0	0	0	0	0	0	0	0	4	0	231	239	23152
Cynoglossus Semilaevis	Actinopteri	Actinopteri	0.132692318	0.080303858	-0.179460461	-0.016757143	0	0	0	0	1	64	15	2	22	0	0	21371	2	21	11	0	202	72	1	0	0	0	0	0	0	0	0	0	0	27	21811
Cyprinodon Variegatus	Actinopteri	Actinopteri	0.135439876	0.081966649	-0.179821675	-0.016784729	0	0	0	0	24	64	13	2	22	0	0	22993	4	48	9	0	175	66	1	0	0	0	2	0	0	0	0	0	0	35	23458
Cyprinus Carpio Carpio	Actinopteri	Actinopteri	0.564366418	0.341548038	-0.05203842	-0.031394767	15	0	0	0	68	314	49	2	22	0	0	46151	8	376	16	0	424	363	0	0	2	0	25	61	0	0	12	2	3753	1114	52777
Danio Rerio	Actinopteri	Actinopteri	0.780822554	0.472544792	0.01241376	-0.009000986	2	0	0	0	0	434	94	2	22	0	0	30153	4	1966	11	0	247	541	4	14	0	2	76	70	0	0	0	0	3274	325	37241
Dicentrarchus Labrax	Actinopteri	Actinopteri	0.41722504	0.252499776	-0.11120343	-0.015719351	0	0	2	0	33	129	12	0	0	0	0	22969	2	242	8	0	266	387	0	0	0	0	2	0	0	0	7	1	782	127	24969
Drosophila Melanogaster	Insecta	Insecta	1.226707799	0.742389392	0.1731877	0.158159207	0	0	0	0	0	485	0	0	0	2539	262	13968	0	115	0	0	299	32	0	0	0	0	0	0	5578	312	0	0	0	342	23932
Equus Caballus	Mammalia	Livestock	0.909604713	0.550482267	0.186839697	-0.101525596	0	0	0	0	18	668	9	2	22	0	0	20912	3	12	20	0	481	540	0	0	10	0	3	12	0	0	2	14	7241	402	30371
Esox Lucius	Actinopteri	Actinopteri	0.822298025	0.497645268	0.004568692	0.066424567	0	0	2	0	60	398	57	2	22	0	0	24854	14	3562	11	0	372	940	0	0	0	0	0	0	0	0	10	2	901	231	31438
Felis Catus	Mammalia	Mammalia	1.005448925	0.608486077	0.209126836	-0.080552417	1	0	0	0	11	221	28	2	22	0	0	19564	7	38	37	0	650	1620	0	0	2	0	3	7	0	0	2	30	6811	494	29550
Ficedula Albicollis	Aves	Aves	0.497027493	0.300795298	-0.034049509	-0.062808468	0	0	0	0	0	137	2	2	22	0	0	15457	3	3	18	0	186	29	0	0	0	0	0	0	0	0	0	4	1872	63	17798
Fundulus Heteroclitus	Actinopteri	Actinopteri	0.121666897	0.073631401	-0.181778709	-0.017992398	0	0	1	0	8	66	13	2	22	0	0	23054	4	20	11	0	176	57	1	0	0	0	6	0	0	0	0	0	0	28	23469
Gadus Morhua	Actinopteri	Actinopteri	0.776792975	0.470106137	0.01521112	-0.014772055	0	0	0	0	3	414	83	0	0	0	0	23510	10	1266	16	0	438	394	0	0	0	0	2	0	0	0	20	1	2697	209	29063
Gallus Gallus	Aves	Livestock	0.867012481	0.52470594	0.363990092	-0.191420496	0	0	0	0	0	674	5	2	22	0	0	17007	2	96	15	0	194	82	0	0	0	0	0	0	0	0	2	2	11944	61	30108
