species	assembly_name	base_pairs	golden_path_length	coding_genes_alternative	non_coding_genes_alternative	small_non_coding_genes_alternative	long_non_coding_genes_alternative	misc_non_coding_genes_alternative	pseudogenes_alternative	gene_transcripts_alternative	coding_genes	non_coding_genes	small_non_coding_genes	long_non_coding_genes	misc_non_coding_genes	pseudogenes	gene_transcripts	genscan_gene_predictions	short_variants	structural_variants	fgenesh_gene_prediction	total_length	ungapped_length	n50	spanned_gaps	unspanned_gaps	scaffold_count	count_contig	contig_N50	contig_L50	contig_N75	contig_N90	scaf_L50	scaf_N75	scaf_N90	replicon_count	count_non_chromosome_replicon	count_alt_loci_units	count_regions	count_patches	domain	kingdom	phylum	class	order	family	genus	3prime_overlapping_ncRNA	antisense	artifact	bidirectional_promoter_lncRNA	IG_C_gene	IG_C_pseudogene	IG_D_gene	IG_D_pseudogene	IG_J_gene	IG_J_pseudogene	IG_LV_gene	IG_pseudogene	IG_V_gene	IG_V_pseudogene	lincRNA	lncRNA	macro_lncRNA	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	nontranslating_CDS	polymorphic_pseudogene	pre_miRNA	processed_pseudogene	processed_transcript	protein_coding	pseudogene	ribozyme	rRNA	rRNA_pseudogene	scaRNA	scRNA	sense_intronic	sense_overlapping	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_J_pseudogene	TR_V_gene	TR_V_pseudogene	transcribed_processed_pseudogene	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	translated_processed_pseudogene	translated_unprocessed_pseudogene	transposable_element	tRNA	unitary_pseudogene	unknown_likely_coding	unprocessed_pseudogene	vault_RNA	Y_RNA	3prime_overlapping_ncRNA_proportion	antisense_proportion	artifact_proportion	bidirectional_promoter_lncRNA_proportion	IG_C_gene_proportion	IG_C_pseudogene_proportion	IG_D_gene_proportion	IG_D_pseudogene_proportion	IG_J_gene_proportion	IG_J_pseudogene_proportion	IG_LV_gene_proportion	IG_pseudogene_proportion	IG_V_gene_proportion	IG_V_pseudogene_proportion	lincRNA_proportion	lncRNA_proportion	macro_lncRNA_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	nontranslating_CDS_proportion	polymorphic_pseudogene_proportion	pre_miRNA_proportion	processed_pseudogene_proportion	processed_transcript_proportion	protein_coding_proportion	pseudogene_proportion	ribozyme_proportion	rRNA_proportion	rRNA_pseudogene_proportion	scaRNA_proportion	scRNA_proportion	sense_intronic_proportion	sense_overlapping_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_J_pseudogene_proportion	TR_V_gene_proportion	TR_V_pseudogene_proportion	transcribed_processed_pseudogene_proportion	transcribed_unitary_pseudogene_proportion	transcribed_unprocessed_pseudogene_proportion	translated_processed_pseudogene_proportion	translated_unprocessed_pseudogene_proportion	transposable_element_proportion	tRNA_proportion	unitary_pseudogene_proportion	unknown_likely_coding_proportion	unprocessed_pseudogene_proportion	vault_RNA_proportion	Y_RNA_proportion	total_genes	label	species_name
acanthochromis polyacanthus	GCA_002109545.1	991584656	991584656	NA	NA	NA	NA	NA	NA	NA	24027	509	490	3	16	29	35487	58434	NA	NA	NA	991584656	842851584	334400	129079	0	30414	159493	16099	13227	6630	2223	789	120593	17430	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Acanthochromis	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	126	16	0	0	0	0	0	0	3	0	24016	26	3	38	0	12	0	0	0	248	58	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.14166497048647e-05	0	0	0	0.000162833299409729	0	0	0	0	0.00512924893140647	0.000651333197638917	0	0	0	0	0	0	0.000122124974557297	0	0.977651129656015	0.00105841644616324	0.000122124974557297	0.00154691634439243	0	0.000488499898229188	0	0	0	0.0100956645634032	0.00236108284144107	0.000325666598819459	0	0	0	0.000203541624262162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24565	Actinopteri	A.polyacanthus
ailuropoda melanoleuca	GCA_002007445.2	2444060653	2444060653	NA	NA	NA	NA	NA	NA	NA	20857	3022	2233	774	15	583	43348	59679	NA	NA	NA	2444060653	2397250240	129245720	49798	0	77287	127085	127380	5346	60666	21755	8	92459488	38124791	21	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	0	0	0	0	7	0	0	0	0	0	0	0	22	0	0	766	0	232	15	0	0	0	0	0	0	42	0	20820	541	8	19	0	27	0	0	0	635	1289	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0.000286158122802714	0	0	0	0	0	0	0	0.000899354100237102	0	0	0.0313138745809827	0	0.00948409778431853	0.000613195977434388	0	0	0	0	0	0	0.00171694873681629	0	0.851116016678931	0.0221159349194669	0.000327037854631674	0.000776714904750225	0	0.0011037527593819	0	0	0	0.0259586297113891	0.0526939743275284	0	0	0.000122639195486878	0	0.000122639195486878	0	8.17594636579184e-05	0	0	0	0	0	0	0	0	0	0	0	4.08797318289592e-05	0.00122639195486878	24462	Mammalia	A.melanoleuca
amphilophus citrinellus	GCA_000751415.1	844902565	844902565	NA	NA	NA	NA	NA	NA	NA	23696	782	760	3	19	50	32597	36489	NA	NA	NA	844902565	785122213	1216136	60906	0	6637	67543	23456	9697	11600	5336	188	526988	146946	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Amphilophus	0	0	0	0	0	0	0	0	3	0	0	0	15	0	0	0	0	180	19	0	0	0	0	0	0	4	0	23675	46	3	324	0	9	0	0	0	199	42	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122309197651663	0	0	0	0.000611545988258317	0	0	0	0	0.0073385518590998	0.000774624918460535	0	0	0	0	0	0	0.000163078930202218	0	0.965223418134377	0.00187540769732551	0.000122309197651663	0.0132093933463796	0	0.00036692759295499	0	0	0	0.00811317677756034	0.00171232876712329	0.000244618395303327	0	0	0	0.000122309197651663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24528	Actinopteri	A.citrinellus
amphiprion ocellaris	GCA_002776465.1	880720895	880720895	NA	NA	NA	NA	NA	NA	NA	23592	1144	1124	3	17	37	33631	51225	NA	NA	NA	880704246	880159076	401715	1398	0	6404	7802	324210	756	145979	61727	631	186967	79810	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Amphiprion	0	0	0	0	0	0	0	0	3	0	0	0	32	0	0	0	0	117	17	2	22	0	0	0	0	1	0	23555	36	3	530	0	16	0	0	0	230	201	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121099584224761	0	0	0	0.00129172889839745	0	0	0	0	0.00472288378476567	0.000686230977273645	8.07330561498406e-05	0.000888063617648246	0	0	0	0	4.03665280749203e-05	0	0.950833568804747	0.00145319501069713	0.000121099584224761	0.0213942598797077	0	0.000645864449198724	0	0	0	0.00928430145723166	0.00811367214305897	0.000242199168449522	0	0	0	8.07330561498406e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24773	Actinopteri	A.ocellaris
anas platyrhynchos	GCA_008746955.1	1211992756	1211992756	NA	NA	NA	NA	NA	NA	NA	16765	1270	476	789	5	455	29320	48492	NA	NA	NA	1211992756	1210757375	77626585	309	0	1665	1974	11467013	33	5691715	1384279	5	22193879	7574731	41	0	0	0	0	Eukaryota	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	124	5	0	0	0	0	0	0	50	0	16765	405	3	34	0	15	0	0	0	202	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0425094645754462	0	0.00670632774472688	0.000270416441319632	0	0	0	0	0	0	0.00270416441319632	0	0.906706327744727	0.0219037317468902	0.000162249864791779	0.0018388318009735	0	0.000811249323958897	0	0	0	0.0109248242293131	0.00519199567333694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40832882639264e-05	0.000216333153055706	18490	Livestock	A.platyrhynchos
anolis carolinensis	GCA_000090745.2	1799143587	1799143587	NA	NA	NA	NA	NA	NA	NA	21555	4098	919	3176	3	826	38557	95447	NA	NA	NA	1799143587	1701353770	4033265	35341	189	6646	41987	79867	6217	40407	18303	119	1651941	393280	14	1	0	0	0	Eukaryota	Metazoa	Chordata	Lepidosauria	Squamata	Dactyloidae	Anolis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3173	0	289	3	2	22	0	0	0	0	709	0	21554	117	3	125	0	14	0	0	0	192	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	3.77657766531969e-05	0	0	0.119830809320594	0	0.0109143094527739	0.000113297329959591	7.55315533063938e-05	0.000830847086370331	0	0	0	0	0.0267759356471166	0	0.814003549983005	0.00441859586842403	0.000113297329959591	0.00472072208164961	0	0.000528720873144756	0	0	0	0.0072510291174138	0.0100079308130972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302126213225575	7.55315533063938e-05	26479	Lepidosauria	A.carolinensis
astatotilapia calliptera	GCA_900246225.3	880428986	880428986	NA	NA	NA	NA	NA	NA	NA	27018	939	893	3	43	44	42580	40839	NA	NA	NA	880428986	879242323	38669361	490	0	248	738	4438245	58	1944892	786390	10	35011464	31467755	22	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Astatotilapia	0	0	0	0	0	0	0	0	4	0	0	0	27	0	0	0	0	410	43	0	0	0	0	0	0	2	0	26983	42	3	182	0	11	0	0	0	202	86	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142852040998536	0	0	0	0.000964251276740116	0	0	0	0	0.0146423342023499	0.00153565944073426	0	0	0	0	0	0	7.14260204992679e-05	0	0.963644155565873	0.00149994643048463	0.000107139030748902	0.00649976786543338	0	0.000392843112745973	0	0	0	0.00721402807042606	0.00307131888146852	7.14260204992679e-05	0	0	0	0.000142852040998536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28001	Actinopteri	A.calliptera
callithrix jacchus	GCA_011100555.1	2829711198	2829711198	NA	NA	NA	NA	NA	NA	NA	22078	16815	6339	6272	4204	1295	71826	105937	NA	NA	NA	2829727687	2816302594	136971485	959	0	353	1312	13255626	59	5215035	1898432	9	117638787	74700100	25	1	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cebidae	Callithrix	0	0	0	0	1	0	0	0	0	0	0	0	71	0	0	6268	0	540	4204	0	0	0	0	0	0	866	0	21965	429	4	213	0	49	0	0	0	1501	3083	0	0	3	0	12	0	26	0	0	0	0	0	0	0	0	0	0	0	16	937	0	0	0	0	2.48830496665671e-05	0	0	0	0	0	0	0	0.00176669652632627	0	0	0.155966955310043	0	0.0134368468199463	0.104608340798248	0	0	0	0	0	0	0.0215487210112471	0	0.546556185926147	0.0106748283069573	9.95321986662685e-05	0.0053000895789788	0	0.00121926943366179	0	0	0	0.0373494575495173	0.0767144421220265	0	0	7.46491489997014e-05	0	0.000298596595998806	0	0.000646959291330745	0	0	0	0	0	0	0	0	0	0	0	0.000398128794665074	0.0233154175375734	40188	Mammalia	C.jacchus
canis lupus familiaris	GCA_014441545.1	2396858295	2396858295	NA	NA	NA	NA	NA	NA	NA	20567	9944	3437	6485	22	610	55335	49701	5423026	104982	NA	2396875024	2384212394	64037277	575	0	377	952	12024593	54	6185766	2167895	15	51941001	39518933	41	1	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	0	0	0	0	24	0	0	0	0	0	0	0	29	0	0	6479	0	986	22	0	0	0	0	0	0	146	0	20500	464	6	27	0	28	0	0	0	618	1750	0	0	3	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0.000771183445262042	0	0	0	0	0	0	0	0.000931846663024967	0	0	0.208187397577199	0	0.0316827865428489	0.000706918158156872	0	0	0	0	0	0	0.00469136595867742	0	0.658719192827994	0.0149095466083995	0.00019279586131551	0.000867581375919797	0	0.000899714019472382	0	0	0	0.0198579737154976	0.0562321262170239	0	0	9.63979306577552e-05	0	0.000224928504868095	0	0.00012853057421034	0	0	0	0	0	0	0	0	0	0	0	3.21326435525851e-05	0.000867581375919797	31121	Mammalia	C.lupus
capra hircus	GCA_001704415.1	2922813246	2922813246	NA	NA	NA	NA	NA	NA	NA	21361	5688	2623	2713	352	222	41794	58693	34116678	NA	NA	2922796603	2922758416	87277232	492	0	29906	30398	26244591	32	7308691	28082	13	60283066	28168	30	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	0	0	0	0	4	0	0	0	0	0	0	0	6	0	2705	0	0	314	352	2	22	0	0	0	0	152	0	21343	70	8	384	0	28	0	0	0	682	1189	2	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146675956143889	0	0	0	0	0	0	0	0.000220013934215834	0	0.099189615342305	0	0	0.0115140625572953	0.0129074841406622	7.33379780719446e-05	0.00080671775879139	0	0	0	0	0.00557368633346779	0	0.782626232994756	0.00256682923251806	0.000293351912287778	0.0140808917898134	0	0.00102673169300722	0	0	0	0.0250082505225331	0.043599427963771	7.33379780719446e-05	0	7.33379780719446e-05	0	0	0	0.000220013934215834	0	0	0	0	0	0	0	0	0	0	0	0	0	27271	Livestock	C.hircus
